#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:16:659:1:1,1,1603:16:659:0,1603:16:659:1:1,Christ Church Nichola Town,KN01,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:2,2,1603:16:659:0,1603:16:659:1:2,Saint Anne Sandy Point,KN02,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:3,3,1603:16:659:0,1603:16:659:1:3,Saint George Basseterre,KN03,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:4,4,1603:16:659:0,1603:16:659:1:4,Saint George Gingerland,KN04,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:5,5,1603:16:659:0,1603:16:659:1:5,Saint James Windward,KN05,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:6,6,1603:16:659:0,1603:16:659:1:6,Saint John Capisterre,KN06,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:7,7,1603:16:659:0,1603:16:659:1:7,Saint John Figtree,KN07,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:8,8,1603:16:659:0,1603:16:659:1:8,Saint Mary Cayon,KN08,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:9,9,1603:16:659:0,1603:16:659:1:9,Saint Paul Capisterre,KN09,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:10,10,1603:16:659:0,1603:16:659:1:10,Saint Paul Charlestown,KN10,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:11,11,1603:16:659:0,1603:16:659:1:11,Saint Peter Basseterre,KN11,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:12,12,1603:16:659:0,1603:16:659:1:12,Saint Thomas Lowland,KN12,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:13,13,1603:16:659:0,1603:16:659:1:13,Saint Thomas Middle Island,KN13,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
1603:16:659:1:14,14,1603:16:659:0,1603:16:659:1:14,Trinity Palmetto Point,KN14,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
